=== UALBF Engine Trace Log: Run Started at Fri Mar 20 22:12:17 2026 ===
   Compiling ualbf_engine v0.1.0 (/Volumes/ExternalSSD/code/quasipolynomials/ualbf-project/rust-engine)
    Finished `release` profile [optimized] target(s) in 1.95s
     Running `target/release/ualbf_engine`
=== UALBF Engine Initializing ===
Target Bound: N > 10^50
PROGRESS|PHASE|1|Legendre-Cattaneo Sieve
PROGRESS|UPDATE|79000|1282273|Processed 79000 prefixes...
PROGRESS|UPDATE|80000|1300527|Processed 80000 prefixes...
PROGRESS|UPDATE|81000|1317678|Processed 81000 prefixes...
PROGRESS|UPDATE|82000|1335296|Processed 82000 prefixes...
PROGRESS|UPDATE|83000|1352968|Processed 83000 prefixes...
PROGRESS|UPDATE|84000|1370828|Processed 84000 prefixes...
PROGRESS|UPDATE|85000|1389489|Processed 85000 prefixes...
PROGRESS|UPDATE|86000|1408741|Processed 86000 prefixes...
PROGRESS|UPDATE|87000|1426501|Processed 87000 prefixes...
PROGRESS|UPDATE|88000|1441436|Processed 88000 prefixes...
PROGRESS|UPDATE|89000|1457895|Processed 89000 prefixes...
PROGRESS|UPDATE|90000|1476518|Processed 90000 prefixes...
PROGRESS|UPDATE|91000|1495300|Processed 91000 prefixes...
PROGRESS|UPDATE|92000|1515099|Processed 92000 prefixes...
PROGRESS|UPDATE|93000|1536034|Processed 93000 prefixes...
PROGRESS|UPDATE|94000|1558730|Processed 94000 prefixes...
PROGRESS|UPDATE|95000|1578950|Processed 95000 prefixes...
PROGRESS|UPDATE|96000|1598779|Processed 96000 prefixes...
PROGRESS|UPDATE|97000|1617688|Processed 97000 prefixes...
PROGRESS|UPDATE|98000|1638236|Processed 98000 prefixes...
PROGRESS|UPDATE|99000|1662205|Processed 99000 prefixes...
PROGRESS|UPDATE|100000|1687090|Processed 100000 prefixes...
PROGRESS|UPDATE|101000|1705983|Processed 101000 prefixes...
PROGRESS|UPDATE|102000|1725461|Processed 102000 prefixes...
PROGRESS|UPDATE|103000|1747941|Processed 103000 prefixes...
PROGRESS|UPDATE|104000|1768113|Processed 104000 prefixes...
PROGRESS|UPDATE|105000|1788882|Processed 105000 prefixes...
PROGRESS|UPDATE|106000|1811125|Processed 106000 prefixes...
PROGRESS|UPDATE|107000|1833370|Processed 107000 prefixes...
PROGRESS|UPDATE|108000|1855695|Processed 108000 prefixes...
PROGRESS|UPDATE|109000|1874473|Processed 109000 prefixes...
PROGRESS|UPDATE|110000|1892333|Processed 110000 prefixes...
PROGRESS|UPDATE|111000|1913739|Processed 111000 prefixes...
PROGRESS|UPDATE|112000|1932895|Processed 112000 prefixes...
PROGRESS|UPDATE|113000|1958427|Processed 113000 prefixes...
PROGRESS|UPDATE|114000|1982552|Processed 114000 prefixes...
PROGRESS|UPDATE|115000|2002580|Processed 115000 prefixes...
PROGRESS|UPDATE|116000|2022174|Processed 116000 prefixes...
PROGRESS|UPDATE|117000|2046749|Processed 117000 prefixes...
PROGRESS|UPDATE|118000|2069401|Processed 118000 prefixes...
PROGRESS|UPDATE|119000|2092546|Processed 119000 prefixes...
PROGRESS|UPDATE|120000|2115821|Processed 120000 prefixes...
PROGRESS|UPDATE|121000|2138707|Processed 121000 prefixes...
PROGRESS|UPDATE|122000|2165019|Processed 122000 prefixes...
PROGRESS|UPDATE|123000|2190299|Processed 123000 prefixes...
PROGRESS|UPDATE|124000|2217435|Processed 124000 prefixes...
PROGRESS|UPDATE|125000|2242770|Processed 125000 prefixes...
PROGRESS|UPDATE|126000|2264108|Processed 126000 prefixes...
PROGRESS|UPDATE|127000|2285685|Processed 127000 prefixes...
PROGRESS|UPDATE|128000|2302458|Processed 128000 prefixes...
PROGRESS|UPDATE|129000|2318683|Processed 129000 prefixes...
PROGRESS|UPDATE|130000|2335878|Processed 130000 prefixes...
PROGRESS|UPDATE|131000|2354143|Processed 131000 prefixes...
PROGRESS|UPDATE|132000|2375472|Processed 132000 prefixes...
PROGRESS|UPDATE|133000|2398658|Processed 133000 prefixes...
PROGRESS|UPDATE|134000|2418476|Processed 134000 prefixes...
PROGRESS|UPDATE|135000|2438651|Processed 135000 prefixes...
PROGRESS|UPDATE|136000|2458715|Processed 136000 prefixes...
PROGRESS|UPDATE|137000|2477340|Processed 137000 prefixes...
PROGRESS|UPDATE|138000|2492123|Processed 138000 prefixes...
PROGRESS|UPDATE|139000|2505935|Processed 139000 prefixes...
PROGRESS|UPDATE|140000|2524926|Processed 140000 prefixes...
PROGRESS|UPDATE|141000|2541360|Processed 141000 prefixes...
